group_name,climate_zone,landcover_major,n_cells,weighted_mean_soc_gkg,median_soc_gkg,weighted_mean_tn_gkg,median_tn_gkg,weighted_mean_cn_ratio,median_cn_ratio,q25_cn_ratio,q75_cn_ratio,weighted_mean_soc_uncert,weighted_mean_tn_uncert,weighted_mean_joint_uncert,dominant_coupling_class
 / Snow/Ice,,Snow/Ice,3,150,148.3,7.701,7.702,19.49,19.52,19.22,19.76,,,,high_soc_high_tn
Arid / Barren,Arid,Barren,6991,5.965,4.143,0.9242,0.8576,6.598,6.124,4.2,8.298,,,,low_soc_low_tn
Arid / Cropland,Arid,Cropland,977,13.9,11.98,1.31,1.102,10.55,10.01,8.615,11.6,,,,low_soc_low_tn
Arid / Forest,Arid,Forest,14,20.76,19.7,1.705,1.522,12.56,12.95,11.99,14.08,,,,medium_or_mixed
Arid / Grassland,Arid,Grassland,5884,15.07,13.2,1.381,1.308,10.74,10.62,9.139,12.17,,,,low_soc_low_tn
Arid / Savanna,Arid,Savanna,311,16.93,14.45,1.244,1.189,14.72,11.89,11.1,13.59,,,,low_soc_low_tn
Arid / Shrubland,Arid,Shrubland,3273,11.81,9.658,0.7037,0.5885,20.27,14.15,9.846,23.66,,,,low_soc_low_tn
Cold / Barren,Cold,Barren,15,16.97,5.08,1.612,1.305,7.653,3.913,3.4,13.13,,,,low_soc_low_tn
Cold / Cropland,Cold,Cropland,2443,29.82,29.41,2.895,2.891,10.32,10.35,9.147,11.66,,,,medium_or_mixed
Cold / Forest,Cold,Forest,4237,60.62,56.69,3.894,3.886,15.22,14.61,12.35,18.64,,,,high_soc_high_tn
Cold / Grassland,Cold,Grassland,1918,45.86,41.42,3.253,3.149,13.02,12.86,11.28,15.29,,,,medium_or_mixed
Cold / Savanna,Cold,Savanna,7171,81.32,83.39,4.339,4.318,18.65,20.1,13.48,25.06,,,,high_soc_high_tn
Cold / Shrubland,Cold,Shrubland,3332,102.9,99.53,5.008,4.706,20.64,21.14,18.96,23.25,,,,high_soc_high_tn
Cold / Snow/Ice,Cold,Snow/Ice,7,136,150.5,6.246,6.433,21.7,21.3,21.05,22.33,,,,high_soc_high_tn
Cold / Urban,Cold,Urban,19,30.68,28.31,2.846,2.756,11.27,10.86,9.582,14.09,,,,medium_or_mixed
Cold / Wetland,Cold,Wetland,199,129.5,120.2,5.682,4.8,23.15,24.37,20.86,26.52,,,,high_soc_high_tn
Polar / Barren,Polar,Barren,811,66.48,78.18,3.887,4.343,15.55,17.7,14.99,19.9,,,,high_soc_high_tn
Polar / Forest,Polar,Forest,56,100.9,94.14,6.073,4.851,15.7,15.71,12.54,19.54,,,,high_soc_high_tn
Polar / Grassland,Polar,Grassland,3232,69.07,73.31,4.234,4.242,15.49,16.7,13.43,19.24,,,,high_soc_high_tn
Polar / Savanna,Polar,Savanna,78,81.7,57.4,5.272,4.168,14.73,14.51,12.32,17.04,,,,high_soc_high_tn
Polar / Shrubland,Polar,Shrubland,844,98.26,93.77,5.395,4.886,18.07,18.01,16.4,19.82,,,,high_soc_high_tn
Polar / Snow/Ice,Polar,Snow/Ice,1017,129.4,142.8,6.244,6.227,20.59,19.94,18.31,22.21,,,,high_soc_high_tn
Polar / Wetland,Polar,Wetland,10,179.9,211.5,9.559,10.1,18.18,17.95,13.63,20.35,,,,high_soc_high_tn
Temperate / Barren,Temperate,Barren,5,32.48,31.61,2.197,2.637,14.21,13.5,11.99,14.68,,,,medium_or_mixed
Temperate / Cropland,Temperate,Cropland,1352,19.53,17.95,1.787,1.655,10.89,10.57,9.356,11.77,,,,medium_or_mixed
Temperate / Forest,Temperate,Forest,1066,44.16,34.44,3.152,2.779,14.07,13.08,10.98,15.9,,,,medium_or_mixed
Temperate / Grassland,Temperate,Grassland,1176,24.09,18.78,1.767,1.641,12.87,12.19,11,13.85,,,,medium_or_mixed
Temperate / Savanna,Temperate,Savanna,2187,26.78,22.22,2.197,1.946,12.42,12.21,10.98,13.65,,,,medium_or_mixed
Temperate / Shrubland,Temperate,Shrubland,63,14.27,13.85,1.542,1.552,9.43,10.52,4.434,14.04,,,,medium_or_mixed
Temperate / Urban,Temperate,Urban,51,28.87,29.33,2.676,2.302,11.92,11.5,10.64,13.06,,,,medium_or_mixed
Temperate / Wetland,Temperate,Wetland,3,75.11,86.47,6.255,6.73,13.04,12.85,11.76,14.27,,,,high_soc_high_tn
Tropical / Cropland,Tropical,Cropland,888,17.42,15.18,1.497,1.349,11.43,11.16,9.837,12.39,,,,low_soc_low_tn
Tropical / Forest,Tropical,Forest,3728,37.15,23.2,2.031,1.809,17.14,13.23,11.59,16.12,,,,medium_or_mixed
Tropical / Grassland,Tropical,Grassland,1450,14.25,13.7,1.186,1.199,12.13,12.11,10.82,13.18,,,,low_soc_low_tn
Tropical / Savanna,Tropical,Savanna,3152,23.7,17.86,1.681,1.457,13.73,12.23,11.19,13.49,,,,medium_or_mixed
Tropical / Shrubland,Tropical,Shrubland,3,9.737,10.04,0.6992,0.7562,16.05,13.99,11.58,19.58,,,,low_soc_low_tn
Tropical / Urban,Tropical,Urban,6,73.81,64.08,8.197,4.492,13.43,10.27,8.445,13.64,,,,high_soc_high_tn
Tropical / Wetland,Tropical,Wetland,18,50.5,31.67,3.883,3.061,15.25,11.23,8.41,14.18,,,,medium_or_mixed
