group_name,n_cells,weighted_mean_soc_gkg,median_soc_gkg,weighted_mean_tn_gkg,median_tn_gkg,weighted_mean_cn_ratio,median_cn_ratio,q25_cn_ratio,q75_cn_ratio,weighted_mean_soc_uncert,weighted_mean_tn_uncert,weighted_mean_joint_uncert,dominant_coupling_class
Barren,7822,9.014,4.413,1.074,0.905,7.051,6.676,4.424,9.135,,,,low_soc_low_tn
Cropland,5660,21.91,20.53,2.054,1.98,10.72,10.46,9.203,11.82,,,,medium_or_mixed
Forest,9101,46.56,41.13,2.845,2.99,16.07,13.78,11.84,17.41,,,,medium_or_mixed
Grassland,13660,28.02,20.99,2.064,1.865,12.17,12.07,10.28,14.76,,,,medium_or_mixed
Savanna,12899,48.05,43.94,2.883,3.332,15.51,13.93,11.67,22.06,,,,medium_or_mixed
Shrubland,7515,44.06,63.99,2.276,3.742,20.11,19.31,13.76,22.8,,,,high_soc_high_tn
Snow/Ice,1027,129.5,143.1,6.248,6.239,20.61,19.98,18.33,22.18,,,,high_soc_high_tn
Urban,76,33.53,29.68,3.236,2.422,11.91,11.5,9.888,13.51,,,,medium_or_mixed
Wetland,230,119.1,118,5.589,4.792,21.62,23.9,18.6,26.29,,,,high_soc_high_tn
